first_name,last_name,date_of_birth,date_of_death,mother,father,reign_start,reign_end,house,spouse,canonical_name,wikidata_uri,gender
Isabella,de Coucy,1332-06-24,1382-10-05,Philippa of Hainault,Edward III of England,,,House of Plantagenet,"Enguerrand VII, Lord of Coucy",Isabella de Coucy (1332–1382),http://www.wikidata.org/entity/Q2278840,female
Joan,of England,1334-01-28,1348-09-02,Philippa of Hainault,Edward III of England,,,House of Plantagenet,,Joan of England (1334–1348),http://www.wikidata.org/entity/Q2778853,female
Lionel,"of Antwerp, 1st Duke of Clarence",1338-12-07,1368-10-25,Philippa of Hainault,Edward III of England,,,House of Plantagenet,Violante Visconti,"Lionel of Antwerp, 1st Duke of Clarence (1338–1368)",http://www.wikidata.org/entity/Q313846,male
John,of Gaunt,1340-07-02,1399-02-11,Philippa of Hainault,Edward III of England,,,House of Plantagenet,"Constance of Castile, Duchess of Lancaster",John of Gaunt (1340–1399),http://www.wikidata.org/entity/Q193752,male
Edmund,"of Langley, 1st Duke of York",1341-06-13,1402-08-10,Philippa of Hainault,Edward III of England,,,House of Plantagenet,"Isabella of Castile, Duchess of York","Edmund of Langley, 1st Duke of York (1341–1402)",http://www.wikidata.org/entity/Q305002,male
Blanche,de la Tour Plantagenet,1342-03-01,1342-03-01,Philippa of Hainault,Edward III of England,,,House of Plantagenet,,Blanche de la Tour Plantagenet (1342–1342),http://www.wikidata.org/entity/Q75382049,female
Mary,of Waltham,1344-10-18,1361-09-01,Philippa of Hainault,Edward III of England,,,House of Plantagenet,"John V, Duke of Brittany",Mary of Waltham (1344–1361),http://www.wikidata.org/entity/Q2575533,female
"Margaret,",Countess of Pembroke,1346-07-20,1362-01-02,Philippa of Hainault,Edward III of England,,,House of Plantagenet,"John Hastings, 2nd Earl of Pembroke","Margaret, Countess of Pembroke (1346–1362)",http://www.wikidata.org/entity/Q1796668,female
William,of Windsor,1348-06-24,1348-09-05,Philippa of Hainault,Edward III of England,,,House of Plantagenet,,William of Windsor (1348–1348),http://www.wikidata.org/entity/Q75382052,male
Roger,Clarendon,1350-01-01,1402-06-17,Edith de Willesford,"Edward, the Black Prince",,,House of Plantagenet,Margaret Fleming,Roger Clarendon (1350–1402),http://www.wikidata.org/entity/Q18527523,male
Thomas,"of Woodstock, 1st Duke of Gloucester",1355-01-07,1397-09-08,Philippa of Hainault,Edward III of England,,,House of Plantagenet,Eleanor de Bohun,"Thomas of Woodstock, 1st Duke of Gloucester (1355–1397)",http://www.wikidata.org/entity/Q432771,male
"Philippa,",5th Countess of Ulster,1355-08-24,1382-01-13,"Elizabeth de Burgh, 4th Countess of Ulster","Lionel of Antwerp, 1st Duke of Clarence",,,House of Plantagenet,"Edmund Mortimer, 3rd Earl of March","Philippa, 5th Countess of Ulster (1355–1382)",http://www.wikidata.org/entity/Q447899,female
Philippa,of Lancaster,1360-04-08,1415-07-28,Blanche of Lancaster,John of Gaunt,,,House of Plantagenet,John I of Portugal,Philippa of Lancaster (1360–1415),http://www.wikidata.org/entity/Q236911,female
Elizabeth,"of Lancaster, Duchess of Exeter",1363-03-01,1425-12-03,Blanche of Lancaster,John of Gaunt,,,House of Plantagenet,"John Holland, 1st Duke of Exeter","Elizabeth of Lancaster, Duchess of Exeter (1363–1425)",http://www.wikidata.org/entity/Q456462,female
John,de Southeray,1364-01-01,1383-01-01,Alice Perrers,Edward III of England,,,House of Plantagenet,Matilda Percy,John de Southeray (1364–1383),http://www.wikidata.org/entity/Q16863367,male
Edward,of Angoulême,1365-01-27,1370-09-01,Joan of Kent,"Edward, the Black Prince",,,House of Plantagenet,,Edward of Angoulême (1365–1370),http://www.wikidata.org/entity/Q16834706,male
Richard,II of England,1367-01-14,1400-02-14,Joan of Kent,"Edward, the Black Prince",1377-06-29,1399-10-08,House of Plantagenet,Anne of Bohemia,Richard II of England (1367–1400),http://www.wikidata.org/entity/Q81000,male
Henry,IV of England,1367-04-01,1413-03-29,Blanche of Lancaster,John of Gaunt,1399-10-08,1413-03-29,House of Lancaster,Joan of Navarre,Henry IV of England (1367–1413),http://www.wikidata.org/entity/Q161866,male
Edward,"of Norwich, 2nd Duke of York",1373-01-01,1415-10-25,"Isabella of Castile, Duchess of York","Edmund of Langley, 1st Duke of York",,,House of Plantagenet,Philippa de Mohun,"Edward of Norwich, 2nd Duke of York (1373–1415)",http://www.wikidata.org/entity/Q452639,male
John,"Beaufort, 1st Earl of Somerset",1373-01-01,1410-03-25,Katherine Swynford,John of Gaunt,,,House of Plantagenet,"Margaret Beaufort, Countess of Somerset","John Beaufort, 1st Earl of Somerset (1373–1410)",http://www.wikidata.org/entity/Q544076,male
Catherine,of Lancaster,1373-04-08,1418-06-11,"Constance of Castile, Duchess of Lancaster",John of Gaunt,,,House of Plantagenet,Enrique III of Castile,Catherine of Lancaster (1373–1418),http://www.wikidata.org/entity/Q231150,female
John,Plantagenet,1374-01-01,1375-01-01,"Constance of Castile, Duchess of Lancaster",John of Gaunt,,,House of Plantagenet,,John Plantagenet (1374–1375),http://www.wikidata.org/entity/Q75387361,male
Henry,Beaufort,1375-01-01,1447-04-20,Katherine Swynford,John of Gaunt,,,House of Plantagenet,,Henry Beaufort (1375–1447),http://www.wikidata.org/entity/Q982472,male
Constance,of York,1375-01-01,1416-11-28,"Isabella of Castile, Duchess of York","Edmund of Langley, 1st Duke of York",,,House of Plantagenet,"Thomas le Despenser, 1st Earl of Gloucester",Constance of York (1375–1416),http://www.wikidata.org/entity/Q1620487,female
Richard,"of Conisburgh, 3rd Earl of Cambridge",1376-01-01,1415-08-14,"Isabella of Castile, Duchess of York","Edmund of Langley, 1st Duke of York",,,House of Plantagenet,Anne de Mortimer,"Richard of Conisburgh, 3rd Earl of Cambridge (1376–1415)",http://www.wikidata.org/entity/Q469002,male
Thomas,"Beaufort, Duke of Exeter",1377-01-01,1427-01-09,Katherine Swynford,John of Gaunt,,,House of Plantagenet,Lady Margaret de Neville,"Thomas Beaufort, Duke of Exeter (1377–1427)",http://www.wikidata.org/entity/Q660630,male
Joan,"Beaufort, Countess of Westmorland",1379-01-01,1440-11-22,Katherine Swynford,John of Gaunt,,,House of Plantagenet,"Ralph de Neville, 1st Earl of Westmorland","Joan Beaufort, Countess of Westmorland (1379–1440)",http://www.wikidata.org/entity/Q535583,female
"Humphrey,",2nd Earl of Buckingham,1381-01-01,1399-09-02,Eleanor de Bohun,"Thomas of Woodstock, 1st Duke of Gloucester",,,House of Plantagenet,,"Humphrey, 2nd Earl of Buckingham (1381–1399)",http://www.wikidata.org/entity/Q4495341,male
Anne,"Plantagenet, Countess of Eu",1382-01-01,1438-10-25,Eleanor de Bohun,"Thomas of Woodstock, 1st Duke of Gloucester",,,House of Plantagenet,"Edmund Stafford, 5th Earl of Stafford","Anne Plantagenet, Countess of Eu (1382–1438)",http://www.wikidata.org/entity/Q537104,female
Edward,Plantagenet,1382-04-01,1382-04-01,Mary de Bohun,Henry IV of England,,,House of Plantagenet,,Edward Plantagenet (1382–1382),http://www.wikidata.org/entity/Q75382037,male
Joan,of Woodstock,1384-01-01,1400-08-16,Eleanor de Bohun,"Thomas of Woodstock, 1st Duke of Gloucester",,,House of Plantagenet,,Joan of Woodstock (1384–1400),http://www.wikidata.org/entity/Q75382578,female
Isabella,of Woodstock,1386-03-12,1402-01-01,Eleanor de Bohun,"Thomas of Woodstock, 1st Duke of Gloucester",,,House of Plantagenet,,Isabella of Woodstock (1386–1402),http://www.wikidata.org/entity/Q75382580,female
Henry,V of England,1386-09-24,1422-09-09,Mary de Bohun,Henry IV of England,1413-03-29,1422-09-09,House of Lancaster,Catherine of Valois,Henry V of England (1386–1422),http://www.wikidata.org/entity/Q131581,male
Thomas,"of Lancaster, 1st Duke of Clarence",1387-10-07,1421-03-22,Mary de Bohun,Henry IV of England,,,House of Plantagenet,"Margaret Beaufort, Countess of Somerset","Thomas of Lancaster, 1st Duke of Clarence (1387–1421)",http://www.wikidata.org/entity/Q511869,male
John,"of Lancaster, Duke of Bedford",1389-06-28,1435-09-23,Mary de Bohun,Henry IV of England,,,House of Plantagenet,Jacquetta of Luxembourg,"John of Lancaster, Duke of Bedford (1389–1435)",http://www.wikidata.org/entity/Q348441,male
Humphrey,"of Lancaster, 1st Duke of Gloucester",1390-10-11,1447-03-04,Mary de Bohun,Henry IV of England,,,House of Plantagenet,"Eleanor, Duchess of Gloucester","Humphrey of Lancaster, 1st Duke of Gloucester (1390–1447)",http://www.wikidata.org/entity/Q447541,male
Blanche,of England,1392-01-01,1409-05-22,Mary de Bohun,Henry IV of England,,,House of Plantagenet,"Louis III, Elector Palatine",Blanche of England (1392–1409),http://www.wikidata.org/entity/Q273099,female
Philippa,of England,1394-07-04,1430-01-14,Mary de Bohun,Henry IV of England,,,House of Plantagenet,Eric of Pomerania,Philippa of England (1394–1430),http://www.wikidata.org/entity/Q235447,female
Antigone,of Gloucester,1420-01-01,1450-01-01,http://www.wikidata.org/.well-known/genid/23ddc0c76096ed06b05485dcfe37a1dc,"Humphrey of Lancaster, 1st Duke of Gloucester",,,House of Lancaster,"Henry Grey, 2nd Earl of Tankerville",Antigone of Gloucester (1420–1450),http://www.wikidata.org/entity/Q4774763,female
Henry,VI of England,1421-12-15,1471-05-30,Catherine of Valois,Henry V of England,1470-10-12,1471-04-13,House of Lancaster,Margaret of Anjou,Henry VI of England (1421–1471),http://www.wikidata.org/entity/Q160337,male
Edward,IV of England,1442-05-07,1483-04-18,"Cecily Neville, Duchess of York","Richard of York, 3rd Duke of York",1461-03-13,1470-10-12,House of York,,Edward IV of England (1442–1483),http://www.wikidata.org/entity/Q160341,male
Richard,III of England,1452-10-11,1485-08-31,"Cecily Neville, Duchess of York","Richard of York, 3rd Duke of York",1483-07-05,1485-08-31,House of York,,Richard III of England (1452–1485),http://www.wikidata.org/entity/Q133028,male
Edward,of Westminster,1453-10-22,1471-05-13,Margaret of Anjou,Henry VI of England,,,House of Lancaster,Anne Neville,Edward of Westminster (1453–1471),http://www.wikidata.org/entity/Q313262,male
Henry,VII of England,1457-02-06,1509-05-01,Margaret Beaufort,"Edmund Tudor, 1st Earl of Richmond",1485-08-31,1509-05-01,House of Tudor,,Henry VII of England (1457–1509),http://www.wikidata.org/entity/Q675493,male
Arthur,"Plantagenet, 1st Viscount Lisle",1461-01-01,1542-03-13,Elizabeth Lucy,Edward IV of England,,,House of York,"Elizabeth Grey, 6th Baroness Lisle","Arthur Plantagenet, 1st Viscount Lisle (1461–1542)",http://www.wikidata.org/entity/Q4799982,male
Elizabeth,of York,1466-02-20,1503-02-21,Elizabeth Woodville,Edward IV of England,,,House of York,Henry VII of England,Elizabeth of York (1466–1503),http://www.wikidata.org/entity/Q207953,female
Mary,of York,1467-08-20,1482-06-01,Elizabeth Woodville,Edward IV of England,,,House of York,,Mary of York (1467–1482),http://www.wikidata.org/entity/Q755721,female
Richard,Plantagenet,1469-01-01,1550-12-22,,Richard III of England,,,House of York,,Richard Plantagenet (1469–1550),http://www.wikidata.org/entity/Q7328454,male
Cecily,of York,1469-03-29,1507-09-03,Elizabeth Woodville,Edward IV of England,,,House of York,"John Welles, 1st Viscount Welles",Cecily of York (1469–1507),http://www.wikidata.org/entity/Q755310,female
John,of Gloucester,1470-01-01,1499-01-01,,Richard III of England,,,House of Lancaster,,John of Gloucester (1470–1499),http://www.wikidata.org/entity/Q5888256,male
Margaret,of York,1472-04-19,1472-12-20,Elizabeth Woodville,Edward IV of England,,,House of York,,Margaret of York (1472–1472),http://www.wikidata.org/entity/Q1466210,female
Richard,"of Shrewsbury, 1st Duke of York",1473-08-26,1483-01-01,Elizabeth Woodville,Edward IV of England,,,House of York,"Anne Mowbray, 8th Countess of Norfolk","Richard of Shrewsbury, 1st Duke of York (1473–1483)",http://www.wikidata.org/entity/Q221367,male
Edward,"of Middleham, Prince of Wales",1473-12-01,1484-03-31,Anne Neville,Richard III of England,,,House of York,,"Edward of Middleham, Prince of Wales (1473–1484)",http://www.wikidata.org/entity/Q436676,male
Anne,of York,1475-11-11,1511-12-03,Elizabeth Woodville,Edward IV of England,,,House of York,"Thomas Howard, 3rd Duke of Norfolk",Anne of York (1475–1511),http://www.wikidata.org/entity/Q786401,female
George,"Plantagenet, 1st Duke of Bedford",1477-03-01,1479-03-01,Elizabeth Woodville,Edward IV of England,,,House of York,,"George Plantagenet, 1st Duke of Bedford (1477–1479)",http://www.wikidata.org/entity/Q1412715,male
Catherine,of York,1479-08-23,1527-11-25,Elizabeth Woodville,Edward IV of England,,,House of York,"William Courtenay, 1st Earl of Devon",Catherine of York (1479–1527),http://www.wikidata.org/entity/Q461227,female
Bridget,of York,1480-11-19,1517-01-01,Elizabeth Woodville,Edward IV of England,,,House of York,,Bridget of York (1480–1517),http://www.wikidata.org/entity/Q846572,female
"Arthur,",Prince of Wales,1486-09-29,1502-04-02,Elizabeth of York,Henry VII of England,,,House of Tudor,Catherine of Aragon,"Arthur, Prince of Wales (1486–1502)",http://www.wikidata.org/entity/Q711801,male
Margaret,Tudor,1489-12-07,1541-10-28,Elizabeth of York,Henry VII of England,,,House of Tudor,James IV of Scotland,Margaret Tudor (1489–1541),http://www.wikidata.org/entity/Q523140,female
Henry,VIII of England,1491-07-07,1547-02-07,Elizabeth of York,Henry VII of England,1509-05-01,1547-02-07,House of Tudor,Anne of Cleves,Henry VIII of England (1491–1547),http://www.wikidata.org/entity/Q38370,male
Elizabeth,Tudor,1492-07-11,1495-09-23,Elizabeth of York,Henry VII of England,,,House of Tudor,,Elizabeth Tudor (1492–1495),http://www.wikidata.org/entity/Q1079839,female
Mary,Tudor,1496-03-27,1533-07-05,Elizabeth of York,Henry VII of England,,,House of Tudor,Louis XII of France,Mary Tudor (1496–1533),http://www.wikidata.org/entity/Q588852,female
Edward,Tudor,1498-01-01,1499-01-01,Elizabeth of York,Henry VII of England,,,House of Tudor,,Edward Tudor (1498–1499),http://www.wikidata.org/entity/Q3401368,male
Edmund,"Tudor, Duke of Somerset",1499-03-02,1500-06-29,Elizabeth of York,Henry VII of England,,,House of Tudor,,"Edmund Tudor, Duke of Somerset (1499–1500)",http://www.wikidata.org/entity/Q718991,male
Katherine,Tudor,1503-02-02,1503-02-20,Elizabeth of York,Henry VII of England,,,House of Tudor,,Katherine Tudor (1503–1503),http://www.wikidata.org/entity/Q4267871,female
"Henry,",Duke of Cornwall,1511-01-01,1511-02-23,Catherine of Aragon,Henry VIII of England,,,House of Tudor,,"Henry, Duke of Cornwall (1511–1511)",http://www.wikidata.org/entity/Q928719,male
Jane,Velville,1512-01-01,1545-01-01,"Agnes Griffith, of Penrhyn",Roland de Velville,,,House of Tudor,,Jane Velville (1512–1545),http://www.wikidata.org/entity/Q91684255,female
"Henry,",Duke of Cornwall (1514),1514-11-01,1514-11-01,Catherine of Aragon,Henry VIII of England,,,House of Tudor,,"Henry, Duke of Cornwall (1514) (1514–1514)",http://www.wikidata.org/entity/Q75381742,male
Mary,I of England,1516-02-28,1558-11-27,Catherine of Aragon,Henry VIII of England,1553-08-08,1558-11-27,House of Tudor,Philip II of Spain,Mary I of England (1516–1558),http://www.wikidata.org/entity/Q82674,female
Catherine,Carey,1523-01-01,1569-01-25,Mary Boleyn,Henry VIII of England,,,House of Tudor,Francis Knollys,Catherine Carey (1523–1569),http://www.wikidata.org/entity/Q241550,female
Richard,Edwardes,1525-03-25,1566-11-10,Agnes Edwards,Henry VIII of England,,,House of Tudor,,Richard Edwardes (1525–1566),http://www.wikidata.org/entity/Q712542,male
Ethelreda,Malte,1527-01-01,1559-01-01,Joan Dingley,Henry VIII of England,,,House of Tudor,John Harington,Ethelreda Malte (1527–1559),http://www.wikidata.org/entity/Q5403273,female
Elizabeth,I of England,1533-09-17,1603-04-03,Anne Boleyn,Henry VIII of England,1558-11-27,1603-03-24,House of Tudor,,Elizabeth I of England (1533–1603),http://www.wikidata.org/entity/Q7207,female
"Henry,",Duke of Cornwall,1534-08-01,1534-08-01,Anne Boleyn,Henry VIII of England,,,House of Tudor,,"Henry, Duke of Cornwall (1534–1534)",http://www.wikidata.org/entity/Q75384812,male
Lady,Jane Grey,1537-01-01,1554-02-22,"Frances Grey, Duchess of Suffolk","Henry Grey, 1st Duke of Suffolk",1553-07-20,1553-07-29,House of Tudor,,Lady Jane Grey (1537–1554),http://www.wikidata.org/entity/Q162356,female
Edward,VI of England,1537-10-22,1553-07-16,Jane Seymour,Henry VIII of England,1547-02-07,1553-07-16,House of Tudor,,Edward VI of England (1537–1553),http://www.wikidata.org/entity/Q83229,male
James,VI and I,1566-06-29,1625-04-06,"Mary, Queen of Scots","Henry Stuart, Lord Darnley",1603-04-03,1625-03-27,House of Stuart,,James VI and I (1566–1625),http://www.wikidata.org/entity/Q79972,male
Richard,Edwards,1566-11-22,1635-04-19,,Richard Edwardes,,,House of Tudor,,Richard Edwards (1566–1635),http://www.wikidata.org/entity/Q75600299,male
Henry,"Frederick, Prince of Wales",1594-02-19,1612-11-06,Anne of Denmark,James VI and I,,,House of Tudor,,"Henry Frederick, Prince of Wales (1594–1612)",http://www.wikidata.org/entity/Q82631,male
unnamed,son Stuart,1595-07-01,1595-07-01,Anne of Denmark,James VI and I,,,House of Tudor,,unnamed son Stuart (1595–1595),http://www.wikidata.org/entity/Q75384834,male
Elizabeth,"Stuart, Queen of Bohemia",1596-08-19,1662-02-13,Anne of Denmark,James VI and I,,,House of Tudor,Frederick V of the Palatinate,"Elizabeth Stuart, Queen of Bohemia (1596–1662)",http://www.wikidata.org/entity/Q158252,female
Margaret,Stuart,1598-12-24,1600-03-01,Anne of Denmark,James VI and I,,,House of Tudor,,Margaret Stuart (1598–1600),http://www.wikidata.org/entity/Q4269678,female
Charles,I of England,1600-11-29,1649-02-09,Anne of Denmark,James VI and I,1625-03-27,1649-01-30,House of Stuart,Henrietta Maria of France,Charles I of England (1600–1649),http://www.wikidata.org/entity/Q81506,male
Robert,"Stuart, Duke of Kintyre and Lorne",1602-01-18,1602-05-27,Anne of Denmark,James VI and I,,,House of Tudor,,"Robert Stuart, Duke of Kintyre and Lorne (1602–1602)",http://www.wikidata.org/entity/Q4269872,male
unnamed,son Stuart,1603-05-01,1603-05-01,Anne of Denmark,James VI and I,,,House of Stuart,,unnamed son Stuart (1603–1603),http://www.wikidata.org/entity/Q75381670,male
Mary,Stuart,1605-04-08,1607-09-16,Anne of Denmark,James VI and I,,,House of Stuart,,Mary Stuart (1605–1607),http://www.wikidata.org/entity/Q3292803,female
Sophia,of England,1606-06-22,1606-06-23,Anne of Denmark,James VI and I,,,House of Stuart,,Sophia of England (1606–1606),http://www.wikidata.org/entity/Q4269980,female
Charles,"James Stuart, Duke of Cornwall",1629-05-13,1629-05-13,Henrietta Maria of France,Charles I of England,,,House of Stuart,,"Charles James Stuart, Duke of Cornwall (1629–1629)",http://www.wikidata.org/entity/Q75381673,male
Charles,II of England,1630-06-08,1685-02-16,Henrietta Maria of France,Charles I of England,1660-06-08,1685-02-16,House of Stuart,Catherine of Braganza,Charles II of England (1630–1685),http://www.wikidata.org/entity/Q122553,male
Mary,"Henrietta, Princess Royal",1631-11-04,1660-12-24,Henrietta Maria of France,Charles I of England,,,House of Stuart,"William II, Prince of Orange","Mary Henrietta, Princess Royal (1631–1660)",http://www.wikidata.org/entity/Q236930,female
James,II of England,1633-10-24,1701-09-16,Henrietta Maria of France,Charles I of England,1685-02-06,1688-12-11,House of Stuart,"Anne, Duchess of York",James II of England (1633–1701),http://www.wikidata.org/entity/Q126188,male
Princess,Elizabeth of England,1635-12-28,1650-09-08,Henrietta Maria of France,Charles I of England,,,House of Stuart,,Princess Elizabeth of England (1635–1650),http://www.wikidata.org/entity/Q2152773,female
Princess,Anne of England,1637-03-17,1640-12-08,Henrietta Maria of France,Charles I of England,,,House of Stuart,,Princess Anne of England (1637–1640),http://www.wikidata.org/entity/Q3307463,female
Catherine,Stuart,1639-01-29,1639-01-29,Henrietta Maria of France,Charles I of England,,,House of Stuart,,Catherine Stuart (1639–1639),http://www.wikidata.org/entity/Q75381676,female
Henry,"Stuart, Duke of Gloucester",1640-07-08,1660-09-18,Henrietta Maria of France,Charles I of England,,,House of Stuart,,"Henry Stuart, Duke of Gloucester (1640–1660)",http://www.wikidata.org/entity/Q2561668,male
James,de la Cloche,1644-01-01,1669-01-01,Margaret de Carteret,Charles II of England,,,House of Stuart,,James de la Cloche (1644–1669),http://www.wikidata.org/entity/Q3161504,male
Henrietta,of England,1644-06-16,1670-06-30,Henrietta Maria of France,Charles I of England,,,House of Stuart,"Philippe, Duke of Orléans",Henrietta of England (1644–1670),http://www.wikidata.org/entity/Q230921,female
James,"Scott, 1st Duke of Monmouth",1649-04-19,1685-07-25,Lucy Walter,Charles II of England,,,Commonwealth,"Anne Scott, 1st Duchess of Buccleuch","James Scott, 1st Duke of Monmouth (1649–1685)",http://www.wikidata.org/entity/Q140235,male
William,III of England,1650-11-14,1702-03-19,"Mary Henrietta, Princess Royal","William II, Prince of Orange",1694-12-28,1702-03-19,House of Stuart,,William III of England (1650–1702),http://www.wikidata.org/entity/Q129987,male
Charles,"Stuart, Duke of Cambridge",1660-10-22,1661-05-05,"Anne, Duchess of York",James II of England,,,House of Stuart,,"Charles Stuart, Duke of Cambridge (1660–1661)",http://www.wikidata.org/entity/Q5082733,male
Anne,"Lennard, Countess of Sussex",1661-02-25,1721-05-16,"Barbara Palmer, 1st Duchess of Cleveland",Charles II of England,,,House of Stuart,"Thomas Lennard, 1st Earl of Sussex","Anne Lennard, Countess of Sussex (1661–1721)",http://www.wikidata.org/entity/Q4768536,female
Mary,II of England,1662-05-10,1695-01-07,"Anne, Duchess of York",James II of England,1689-02-13,1694-12-28,House of Stuart,William III of England,Mary II of England (1662–1695),http://www.wikidata.org/entity/Q130812,female
Prince,"James, Duke of Cambridge",1663-07-12,1667-06-20,"Anne, Duchess of York",James II of England,,,House of Stuart,,"Prince James, Duke of Cambridge (1663–1667)",http://www.wikidata.org/entity/Q2269986,male
Charlotte,"Lee, Countess of Lichfield",1664-09-05,1718-02-17,"Barbara Palmer, 1st Duchess of Cleveland",Charles II of England,,,House of Stuart,"Edward Lee, 1st Earl of Lichfield","Charlotte Lee, Countess of Lichfield (1664–1718)",http://www.wikidata.org/entity/Q3666746,female
Anne,of Great Britain,1665-02-06,1714-08-12,"Anne, Duchess of York",James II of England,1702-03-19,1707-05-12,House of Stuart,"Prince George, Duke of Cumberland",Anne of Great Britain (1665–1714),http://www.wikidata.org/entity/Q119702,female
unnamed,son Stuart,1666-02-01,1666-02-01,Catherine of Braganza,Charles II of England,,,House of Stuart,,unnamed son Stuart (1666–1666),http://www.wikidata.org/entity/Q75388654,male
Charles,"Stuart, Duke of Kendal",1666-07-04,1667-05-22,"Anne, Duchess of York",James II of England,,,House of Stuart,,"Charles Stuart, Duke of Kendal (1666–1667)",http://www.wikidata.org/entity/Q6856845,male
Edgar,"Stuart, Duke of Cambridge",1667-09-14,1671-06-08,"Anne, Duchess of York",James II of England,,,House of Stuart,,"Edgar Stuart, Duke of Cambridge (1667–1671)",http://www.wikidata.org/entity/Q5337475,male
Henrietta,Stuart,1669-01-13,1669-11-15,"Anne, Duchess of York",James II of England,,,House of Stuart,,Henrietta Stuart (1669–1669),http://www.wikidata.org/entity/Q75381659,female
Charles,"Beauclerk, 1st Duke of St Albans",1670-05-08,1726-05-10,Nell Gwyn,Charles II of England,,,House of Stuart,"Diana Beauclerk, Duchess of St Albans","Charles Beauclerk, 1st Duke of St Albans (1670–1726)",http://www.wikidata.org/entity/Q135152,male
Catherine,Stuart,1671-02-09,1671-12-05,"Anne, Duchess of York",James II of England,,,House of Stuart,,Catherine Stuart (1671–1671),http://www.wikidata.org/entity/Q75381660,female
Charles,"Lennox, 1st Duke of Richmond",1672-07-29,1723-05-27,"Louise de Keroual, Duchess of Portsmouth",Charles II of England,,,House of Stuart,"Anne Lennox, Duchess of Richmond","Charles Lennox, 1st Duke of Richmond (1672–1723)",http://www.wikidata.org/entity/Q938207,male
Charles,"Scott, Earl of Doncaster",1672-08-24,1674-02-09,"Anne Scott, 1st Duchess of Buccleuch","James Scott, 1st Duke of Monmouth",,,House of Stuart,,"Charles Scott, Earl of Doncaster (1672–1674)",http://www.wikidata.org/entity/Q75249958,male
Mary,"Tudor, Countess of Derwentwater",1673-10-16,1726-11-05,Moll Davis,Charles II of England,,,House of Stuart,"Edward Radclyffe, 2nd Earl of Derwentwater","Mary Tudor, Countess of Derwentwater (1673–1726)",http://www.wikidata.org/entity/Q4983566,female
James,"Scott, Earl of Dalkeith",1674-05-23,1705-03-14,"Anne Scott, 1st Duchess of Buccleuch","James Scott, 1st Duke of Monmouth",,,House of Stuart,Henrietta Hyde,"James Scott, Earl of Dalkeith (1674–1705)",http://www.wikidata.org/entity/Q362651,male
Catherine,Laura Stuart,1675-01-10,1675-10-03,Mary of Modena,James II of England,,,House of Stuart,,Catherine Laura Stuart (1675–1675),http://www.wikidata.org/entity/Q75381662,female
Anne,Scott,1675-02-17,1685-08-13,"Anne Scott, 1st Duchess of Buccleuch","James Scott, 1st Duke of Monmouth",,,House of Stuart,,Anne Scott (1675–1685),http://www.wikidata.org/entity/Q75333122,female
Henry,"Scott, 1st Earl of Deloraine",1676-01-01,1730-12-25,"Anne Scott, 1st Duchess of Buccleuch","James Scott, 1st Duke of Monmouth",,,House of Stuart,Mary Scott,"Henry Scott, 1st Earl of Deloraine (1676–1730)",http://www.wikidata.org/entity/Q5728124,male
Princess,Isabel of York,1676-08-18,1681-03-02,Mary of Modena,James II of England,,,House of Stuart,,Princess Isabel of York (1676–1681),http://www.wikidata.org/entity/Q6588072,female
Charles,"Stuart, Duke of Cambridge",1677-11-07,1677-12-12,Mary of Modena,James II of England,,,House of Stuart,,"Charles Stuart, Duke of Cambridge (1677–1677)",http://www.wikidata.org/entity/Q5082734,male
Elizabeth,Stuart,1678-01-01,1678-01-01,Mary of Modena,James II of England,,,House of Stuart,,Elizabeth Stuart (1678–1678),http://www.wikidata.org/entity/Q75384848,female
Lord,Francis Scott,1678-01-01,1679-01-01,"Anne Scott, 1st Duchess of Buccleuch","James Scott, 1st Duke of Monmouth",,,House of Stuart,,Lord Francis Scott (1678–1679),http://www.wikidata.org/entity/Q75333120,male
Henrietta,"Paulet, Duchess of Bolton",1680-01-01,1729-02-27,Eleanor Needham,"James Scott, 1st Duke of Monmouth",,,House of Stuart,"Charles Paulet, 2nd Duke of Bolton","Henrietta Paulet, Duchess of Bolton (1680–1729)",http://www.wikidata.org/entity/Q55418288,female
Isabel,Crofts,1681-01-01,1697-01-01,Eleanor Needham,"James Scott, 1st Duke of Monmouth",,,House of Stuart,,Isabel Crofts (1681–1697),http://www.wikidata.org/entity/Q75333128,female
Charlotte,Maria Stuart,1682-08-16,1682-10-06,Mary of Modena,James II of England,,,House of Stuart,,Charlotte Maria Stuart (1682–1682),http://www.wikidata.org/entity/Q45201884,female
Lady,Charlotte Scott,1683-01-01,1683-09-05,"Anne Scott, 1st Duchess of Buccleuch","James Scott, 1st Duke of Monmouth",,,House of Stuart,,Lady Charlotte Scott (1683–1683),http://www.wikidata.org/entity/Q75333117,female
James,Darnley,1684-01-01,1685-01-01,"Catherine Sedley, Countess of Dorchester",James II of England,,,House of Stuart,,James Darnley (1684–1685),http://www.wikidata.org/entity/Q75384858,male
Catherine,"Sheffield, Duchess of Buckingham and Normanby",1685-01-01,1743-03-13,"Catherine Sedley, Countess of Dorchester",James II of England,,,House of Stuart,"James Annesley, 3rd Earl of Anglesey","Catherine Sheffield, Duchess of Buckingham and Normanby (1685–1743)",http://www.wikidata.org/entity/Q64668470,female
